"forename","surname","races","avg_grid","avg_finish","racecraft_score","recovery_drive_index","wins","podiums","podium_rate"
Max,Verstappen,180,4.07,4.38,-0.32,10.87,68,117,65.00
Lewis,Hamilton,179,5.31,4.88,0.42,5.57,44,89,49.72
Sergio,Pérez,154,8.90,8.54,0.36,3.38,6,32,20.78
Carlos,Sainz,179,8.28,8.76,-0.48,3.27,4,29,16.20
Lando,Norris,159,6.52,7.42,-0.90,2.45,11,46,28.93
Kimi,Räikkönen,79,10.71,10.84,-0.13,2.40,1,12,15.19
Lance,Stroll,178,13.79,12.77,1.02,2.10,0,2,1.12
Charles,Leclerc,180,6.27,7.46,-1.18,2.05,8,52,28.89
Esteban,Ocon,158,11.87,11.47,0.40,1.85,1,4,2.53
Oscar,Piastri,77,5.87,6.88,-1.01,1.73,9,28,36.36
Sebastian,Vettel,101,8.44,8.97,-0.53,1.49,6,23,22.77
George,Russell,159,8.75,9.44,-0.69,1.48,6,27,16.98
Alexander,Albon,136,12.07,11.96,0.10,1.42,0,2,1.47
Valtteri,Bottas,156,8.72,9.77,-1.04,1.35,7,45,28.85
Pierre,Gasly,180,10.99,11.54,-0.56,1.32,1,6,3.33
Fernando,Alonso,142,10.33,10.67,-0.34,1.29,0,9,6.34
Daniel,Ricciardo,128,10.31,10.70,-0.38,1.06,3,5,3.91
Yuki,Tsunoda,114,12.26,13.32,-1.06,0.76,0,0,0.00
Nico,Hülkenberg,124,12.20,12.70,-0.50,0.32,0,1,0.81
Kevin,Magnussen,125,13.06,13.98,-0.91,0.19,0,0,0.00
